id,x0,x1,x2,x3,x4,x5,c,I
"A20",1.02888,-1.069e-4,-4.10e-6,0,0,0,0.99883,0.7
"A21",1.02888,-1.069e-4,-4.10e-6,0,0,0,0.100179,0.7
