id,x0,x1,x2,x3,x4,x5,c,I
"J",1.03121,-1.172e-4,-4e-6,0,0,0,0.068732,0.7
"K",1.02727,-1.088E-04,-4.00E-06,0,0,0,0.050702,0.7
